id,product_code,product_names,product_category,product_details,unit,product_status,created_date,last_updated,bom_id,product_id,product_daterun,product_type,product_dimensions,product_expiration_date,product_selling_price,product_cost_price,product_wholesale_price,created_at,edata_id,tempId,updated_at,revision,status,id_oldsys
1,PROD,"การตรวจติดตามภายในระบบการจัดการอาชีวอนามัยและความปลอดภัย (Internal Audit ISO45001)","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",1,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
2,PROD,"การวิจัยและพัฒนา ดำเนินการปรับปรุงบรรจุภัณฑ์ PK (Research and Development of packaging)","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",2,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
3,PROD,"มาตรฐานสุขลักษณะที่ดีของครัวผลิตอาหารสาหรับคนหมู่มาก (GMP In Mass Catering)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",3,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
4,PROD,"หลักเกณฑ์และวิธีการที่ดีในการผลิตอาหารตามมาตรฐานอย. (GMP THAI FDA)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",4,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
5,PROD,"หลักเกณฑ์และวิธีการที่ดีในการผลิตอาหารตามมาตรฐานสากล (GMP Codex)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",5,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
6,PROD,"การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (Hazard Analysis and Critical Control Point : HACCP)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",6,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
7,PROD,"ระบบมาตรฐานการจัดการด้านความปลอดภัยอาหาร (Food Safety Management System ) ISO22000:2018","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",7,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
8,PROD,"ระบบมาตรฐานความปลอดภัยอาหาร (Food Safety System Certification) FSSC 22000 version 7","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",8,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
9,PROD,"ระบบมาตรฐานอาหารระหว่างประเทศเพื่อให้การผลิตอาหารปลอดภัย  (International Food Standard) IFS","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",9,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
10,PROD,"ระบบมาตรฐานเกษตรอินทรีย์ (Organic)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",10,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
11,PROD,หลักเกณฑ์วิธีการและเงื่อนไขการขึ้นทะเบียนโรงงานผลิตพืช,"(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",11,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
12,PROD,"มาตรฐานคุณภาพและความปลอดภัยของสหรัฐอเมริกา (Food and Drug Administration) USA FDA","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",12,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
13,PROD,"มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร  (Good Hygiene Practice) GHPs","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",13,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
14,PROD,"การปฏิบัติทางการเกษตรที่ดี (Good Agricultural Practces ) GAP","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",14,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
15,PROD,"ระบบการะบบการจัดการคุณภาพและความปลอดภัยส่วนผสมอาหารสัตว์ตามมาตรฐาน (Feed Additives and Premixtures Quality System) FAMI-QS","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",15,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
16,PROD,"ระบบมาตรฐานการรับรองระบบสำหรับกลุ่มบริษัทธุรกิจที่ผลิตบรรจุภัณฑ์เพื่อใช้ในการผลิตสินค้าให้กับบริษัทค้าปลีก (British Retail Consortium – Institute of Food Packaging) BRC IOP Issue 6 New!!","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",16,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
17,PROD,"ระบบมาตรฐานอาหารฮาลาล (Halal)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",17,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
18,PROD,"มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",18,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
19,PROD,"มาตรฐานสินค้าเกษตรการปฏิบัติที่ดีสำหรับการผลิตทุเรียนแช่เยือกแข็ง (มกษ.9046)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",19,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
20,PROD,"วิธีการผลิต เครื่องมือเครื่องใช้ในการผลิต และการเก็บรักษาอาหาร (ประกาศกระทรวงสาธารณสุข ฉบับที่ 420)","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",20,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
21,PROD,"Upgrade BRCGS Food Safety Issue 9","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",21,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
22,PROD,"Additional consult BRC Grade A Guarantee​","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",22,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
23,PROD,"BRCGS Food Safety Issue 9","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",23,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
24,PROD,"update เอกสาร GMP Codex เป็น GHPs","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",24,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
25,PROD,"การบริหารจัดการเพื่อลดการปล่อยก๊าซเรือนกระจก (Greenhouse Gases) ISO 14064-1","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",25,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
26,PROD,"ระบบมาตรฐานการบริหารจัดการเพื่อลดการปล่อยก๊าซเรือนกระจก (Greenhouse Gases) ISO 14064-1","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",26,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
27,PROD,"ระบบมาตรฐานการจัดการ ความมั่นคงปลอดภัยสารสนเทศ ISO27001:2022","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",27,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
28,PROD,"คาร์บอนฟุตพริ้นท์ขององค์กร (Carbon Footprint for Organization) CFO","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",28,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
29,PROD,"ระบบมาตรฐานการรับรองระบบสำหรับกลุ่มบริษัทธุรกิจที่ผลิตบรรจุภัณฑ์เพื่อใช้ในการผลิตสินค้าให้กับบริษัทค้าปลีก (British Retail Consortium – Institute of Food Packaging) BRC IOP Issue 7 New!!","(CS) Consult-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",29,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
30,PROD,"หลักเกณฑ์และวิธีการที่ดีในการผลิตยา (Good Manufacturing Practice For Drugs)","(CS) Consult-ยา","\N","\N",ACTIVE,"\N","\N","\N",30,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
31,PROD,"หลักปฏิบัติที่ดีในการจัดเก็บและกระจายสินค้ายา (Guide to Good Storage & Distribution Practice For Pharmaceutical Product) GSDP PHARMA","(CS) Consult-ยา","\N","\N",ACTIVE,"\N","\N","\N",31,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
32,PROD,"หลักเกณฑ์และวิธีการที่ดีในการกระจายเครื่องมือแพทย์ (Good Distribution Practice for Medical Devices-GDPMD)","(CS) Consult-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",32,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
33,PROD,"หลักเกณฑ์และวิธีการที่ดีในการผลิตเครื่องมือแพทย์ (Guideline on the Application of Thai GMP Medical Devices)","(CS) Consult-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",33,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
34,PROD,"ระบบการบริหารจัดการคุณภาพอุตสาหกรรมเครื่องมือแพทย์ (Medical devices Quality management systems) ISO13485:2016","(CS) Consult-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",34,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
35,PROD,"การจัดการความเสี่ยงของเครื่องมือและอุปกณ์ทางการแพทย์ (Application Of Risk Management to Medical Devices) ISO14971","(CS) Consult-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",35,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
36,PROD,"แนวทางและวิธีการที่ดีในการผลิตเครื่องสำอางของอาเซียน (Asian guidelines for cosmetic Good Manufacturing Practice)","(CS) Consult-เครื่องสำอาง","\N","\N",ACTIVE,"\N","\N","\N",36,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
37,PROD,"ระบบการปฏิบัติที่ดีในการผลิตเครื่องสำอาง (Cosmetics Good Manufacturing Practices) ISO 22716","(CS) Consult-เครื่องสำอาง","\N","\N",ACTIVE,"\N","\N","\N",37,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
38,PROD,"หลักเกณฑ์และวิธีการที่ดีในการผลิตวัตถุอันตราย (Good Manufacturing Practice for Hazardous Substances)","(CS) Consult-วัตถุอันตราย","\N","\N",ACTIVE,"\N","\N","\N",38,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
39,PROD,"หลักเกณฑ์และวิธีการที่ดีในการผลิต สาหรับบรรจุภัณฑ์ (Good Manufacturing Practice For Packaging)","(CS) Consult-Food Chain เช่น อาหารสัตว์,ฟาร์ม","\N","\N",ACTIVE,"\N","\N","\N",39,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
40,PROD,"หลักเกณฑ์และวิธีการที่ดีในการผลิตอาหารสัตว์ (Good Manufacturing Practice)","(CS) Consult-Food Chain เช่น อาหารสัตว์,ฟาร์ม","\N","\N",ACTIVE,"\N","\N","\N",40,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
41,PROD,"ระบบการจัดการคุณภาพและความปลอดภัยส่วนผสมอาหารสัตว์ตามมาตรฐาน (Feed Additives and Premixtures Quality)","(CS) Consult-Food Chain เช่น อาหารสัตว์,ฟาร์ม","\N","\N",ACTIVE,"\N","\N","\N",41,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
42,PROD,"ระบบมาตรฐานการจัดการสิ่งแวดล้อม (Environmental management system) ISO14001:2015","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",42,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
43,PROD,"ระบบมาตรฐานการจัดการอาชีวอนามัยและความปลอดภัย (Occupational Health and Safety Management Systems) ISO 45001:2018","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",43,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
44,PROD,"ระบบมาตรฐานการบริหารงานคุณภาพ (Quality Management System) ISO9001:2015","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",44,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
45,PROD,"ระบบมาตรฐานการบริการงานคุณภาพ สาหรับอุตสาหกรรมยานยนต์ (Automotive Quality Management System Standard) ISO/TS16949:2016","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",45,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
46,PROD,"ระบบการจัดการพลังงานตามมาตรฐานสากล (Energy Management System) ISO50001:2018","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",46,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
47,PROD,"ระบบมาตรฐานการประเมินความสามารถทางวิชาการของห้องปฏิบัติการ (General Requirements for the Competence of Testing and Calibration Laboratories) ISO/IEC17025:2017","(CS) Consult-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",47,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
48,PROD,"การตรวจติดตามภายในการบริหารงานคุณภาพ (IQA FOR ISO9001:2015)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",48,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
49,PROD,"การวิจัยและพัฒนา ดำเนินการปรับปรุงบรรจุภัณฑ์ PK (Research and Development of packaging)","(OS) One Stop Service-อื่นๆ","\N","\N",ACTIVE,"\N","\N","\N",49,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
50,PROD,"ยื่นขอจดทะเบียน/จดแจ้งรายละเอียดอาหาร (สบ.3) (อาหารเสริมวัตถุเจือปน อาหารสำหรับทารถและเด็กเล็ก)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",50,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
51,PROD,"ยื่นขอนำเข้าเครื่องมือแพทย์ที่ใช้เป็นส่วนประกอบส่วนควบอุปกรณ์ หรือชิ้นส่วนในการผลิต เครื่องมือแพทย์หรือใช้ประกอบในการผลิตยา โดยผู้อนุญาตผลิตยาในประเทศ","(OS) One Stop Service-ยา","\N","\N",ACTIVE,"\N","\N","\N",51,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
52,PROD,ยื่นขอย้ายหรือเปลี่ยนแปลงสถานที่ขายเครื่องมือแพทย์,"(OS) One Stop Service-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",52,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
53,PROD,ยื่นขอใบแทนใบจดทะเบียนสถานประกอบการผลิตหรือนำเข้าเครื่องมือแพทย์,"(OS) One Stop Service-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",53,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
54,PROD,"ยื่นขอแก้ไขเปลี่ยนแปลงรายการละเอียดในใบรับแจ้งรายการละเอียด ผลิต และใบรับแจ้งรายการละเอียดนำเข้าเครื่องมือแพทย์","(OS) One Stop Service-เครื่องมือแพทย์","\N","\N",ACTIVE,"\N","\N","\N",54,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
55,PROD,ยื่นขอต่ออายุใบสำคัญการขึ้นทะเบียนวัตถุอันตราย,"(OS) One Stop Service-วัตถุอันตราย","\N","\N",ACTIVE,"\N","\N","\N",55,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
56,PROD,"รับการตรวจประเมินระบบ  GHPs&HACCP","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",56,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
57,PROD,"รับการตรวจประเมินระบบ FSSC22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",57,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
58,PROD,"รับการตรวจประเมินระบบ ISO22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",58,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
59,PROD,"ยื่นขอใบอนุญาตสถานที่ผลิตอาหาร (อ.1)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",59,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
60,PROD,"ยื่นขอขึ้นทะเบียนโรงงานผลิตสินค้าพืช (DOA)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",60,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
61,PROD,"การวิจัยและพัฒนา ดำเนินการปรับปรุงผลิตภัณฑ์ที่มีคุณภาพ R&D (Research & Development)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",61,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
62,PROD,ออกแบบและเขียนแปลนห้องเก็บอาหาร,"(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",62,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
63,PROD,"ตรวจประเมินเบื้องต้น (Pre Audit) เพื่อเตรียมความพร้อมในการยื่นขอการรับรองระบบ IFS","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",63,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
64,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) IFS","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",64,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
65,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) GHPs","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",65,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
66,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) ISO22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",66,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
67,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) FSSC22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",67,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
